Lane 0;Lane 1;Lane 2;Lane 3
0;0;-50;0
98.99936638;-0.000644038;199.999995;98.99585884
98.5071759;-0.013441139;198.4167573;98.93912251
-0.002430922;98.99908702;98.99630939;199.998725
98.99987231;199.9999954;73.99718239;-0.004589702
199.9999989;98.99997368;98.7239912;-0.006660409
98.98803202;-0.003524113;98.99725434;199.9695044
97.42652219;95.85283658;-50;199.9942137
98.99976847;200;98.99746266;-0.000468205
199.9980771;98.80166875;98.97018242;-0.060813635
81.7492151;-4.21421884;199.9952493;71.00395501
198.3936291;49.10785694;43.23596079;-25.01113396
199.998968;-0.002304578;98.99419716;98.99310863
199.9945445;74.23493536;-2.103571774;96.90914004
199.3629818;-19.11856793;48.68620219;45.18015592
0;0;0;0
98.60363422;-0.002360813;98.99045434;199.9999933
198.4065022;98.90083361;98.95544398;-0.00450879
-0.004608435;98.99705871;98.99471438;199.9912587
74.24502416;-4.008270879;90.49520604;199.9408483
-0.049197713;98.97680247;98.99438802;199.9518348
98.22483736;199.8199253;49.49933152;-4.160087763
74.01923701;86.62132104;-0.024629862;199.9726552
-7.126774102;0;0;199.1198411
-0.004239278;199.9407578;98.98688669;98.97497337
199.9737551;-0.166237094;74.22668785;49.49681902
-50;0;72.92482106;199.2804583
50;0;130.8105114;-50
-15.65033892;199.9067567;49.49772844;49.38719142
198.1201637;0;-37.5;46.76531747
0;0;177.2666145;-25.0263523
0;0;0;0
-0.128449684;199.1170708;98.97848652;98.66355911
98.96210804;-0.012842828;98.99318206;199.9905479
199.8431319;63.80465268;-7.489246285;79.82051405
-25.16135936;48.71322097;24.49030926;199.3571273
-0.119870765;199.9989284;98.99224459;98.99557163
49.48386662;49.4934769;199.972782;-14.35633744
-40.62560921;0;0;172.251638
0;0;-12.67528787;184.2679308
199.7886342;92.25593486;-62.5;67.90160126
199.0943704;-50;0;49.14475113
-50;0;47.65277864;179.5468476
-0.5;158.2113197;-25.02971883;0
-25.78743507;43.04631599;198.6347878;0
0;0;179.1354642;-53.13102796
0;-50;50;0
0;0;0;0
98.99832483;-0.000350541;199.9482349;98.96504649
0;74.8550356;197.5683176;-8.812813325
0;49.30075028;-50;196.8398548
0;0;0;0
-3.424928146;86.60400682;199.9893321;74.24414175
0;193.6093448;0;-12.50369581
0;0;147.2443511;-26.23669654
0;0;0;0
48.24373866;0;-34.37587892;198.5723343
-25.44507256;0;0;174.5951933
0;168.8532663;-31.25651622;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
199.9999942;-0.002032231;98.95792471;98.99976832
98.99908388;98.91016715;199.8256647;-0.02954052
-0.001614032;199.9991957;98.9988194;98.94406979
199.9613728;97.39373285;98.48814494;-2.036047271
199.9979218;98.99491743;-0.002445796;98.99522935
49.46911252;-0.216288983;199.9817942;95.87981255
49.48990876;-0.108072557;199.5779073;49.49654386
0;43.00006181;174.9707895;-25.24993819
-0.474031792;98.98446625;199.6988112;98.99526068
49.41610677;-0.570568215;199.8884349;86.61516556
0;49.4947439;-3.138669231;196.1481292
0;0;-25.0084885;196.5901923
92.79931605;199.5300937;58.291755;-0.030905311
146.6799472;-0.015446986;0;0
0;0;197.4713024;-50
0;0;0;0
199.8474751;-0.061630862;98.99877785;98.33898604
98.21387469;199.8055772;92.77295448;-1.575840831
199.977279;-0.032170373;49.49641038;92.80605955
-14.84551716;196.5808483;0;49.49374487
199.9909044;86.61927596;86.59956212;-1.026187321
196.8556193;-0.900248226;49.49859185;49.45200977
-0.000424421;74.24179389;199.200128;0
189.3607767;-37.5;71.39706893;0
0;-0.30093287;95.82681363;199.406418
193.7379043;-0.004881933;0;0
0;-12.66213366;0;174.5450691
0;-9.391641894;0;0
168.4062592;0;48.85661296;-0.257194696
0;-10.25958423;0;0
0;0;172.0447881;-9.397955515
0;0;0;0
98.99470904;-0.020207205;199.9977015;98.81880157
49.46295157;-0.623429636;49.33566695;199.9721736
0;0;149.7208887;-0.368785427
-31.25092299;0;0;147.1160883
199.8838395;74.24837399;0;-1.179366497
49.49959062;187.3737017;-0.107997675;0
0;0;-3.13158513;99.98689186
98.73243376;-25.00208848;0;0
192.852688;0;0;-6.381607401
0;0;174.2011433;-43.75969074
-75;136.5494793;0;0
-50;84.92024453;0;0
0;-50;32.31012315;187.043194
0;0;-49.2209499;0
-37.5;0;0;74.82240784
0;0;0;0
196.8660772;98.07541368;-0.033475565;61.74698533
0;0;145.3727975;-0.001523972
103.125;12;18.25;-50
0;0;0;0
0;42.60467705;195.8115311;-50
0;0;166.1067634;-12.50210958
0;-50;0;172.0532985
0;0;0;0
47.91355514;-37.72404447;0;173.2768281
0;95.26903779;0;-26.41913024
0;-50;0;98.71683606
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
98.99652921;199.6927198;98.79618776;-0.003918599
199.9986681;-0.041959048;98.48782172;98.99334095
-7.841055969;199.9856304;95.82859066;96.585651
63.58696435;84.81880108;198.5156466;-21.16146312
-0.040387657;98.99437761;98.98432361;199.1999791
199.6481314;0;74.24624611;-0.474689938
194.6265784;-22.30708358;0;0
0;48.77201474;-66.16569269;166.4657001
199.7031547;24.34708864;-50;-0.5
-25.00926735;0;198.847206;82.46072596
0;0;-50;167.1480778
114.046103;0;-50;0
-37.90768034;37.57809883;196.3195436;43.1670977
0;-50.02346556;0;171.4468203
-50;0;0;135.6788966
0;0;0;0
98.9966133;199.9816462;-12.51051617;98.95532233
-2.302078376;199.8969639;46.34993085;86.61039049
190.1503994;-25.00056062;24.43497061;49.38061096
42.70546246;0;-62.5;170.0329404
-0.002453825;49.48116619;92.78469548;199.9957102
0;187.4966807;-1.635976613;49.49505795
48.28697887;-1.268960606;0;186.6707619
0;0;0;0
0;-75;24.49073265;193.0183649
0;-0.039511361;0;0
0;0;74.99344121;-15.79553611
0;-1.728760559;0;0
0;-12.54145115;0;194.3347915
0;-0.5;87.49451213;-39.17553261
-26.70392405;0;0;74.99705453
0;0;0;0
-16.91581432;96.2895076;199.8560902;77.27127487
0;-10.42362328;191.7042411;0
143.6984418;22.45903126;-50.12047412;-0.5
-29.83444587;0;189.1828052;0
181.6286215;-50;40.11832951;47.88557724
172.8196523;0;0;-18.76647509
0;-50;170.7835488;0
33.13638962;-34.375;0;143.7890795
0;0;-9.411827402;132.3715169
74.98869318;0;-50;0
-50;0;171.0296772;33.4982981
0;-32.81252108;0;87.07950096
0;-75;114.0549302;0
0;0;-26.68978065;0
0;0;0;0
0;0;0;0
-31.25507836;196.0645262;61.76428476;66.53085505
-50;0;0;99.02506813
-37.56494696;139.155606;0;0
0;0;0;0
169.3989;47.93310345;-50;0
0;-38.31384924;0;0
0;0;-50;0
0;0;0;0
-52.34397021;0;149.9966692;22.15458238
0;0;0;0
0;0;87.5;-50
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
199.7014661;98.99265273;-0.022631275;98.99053662
97.64808085;199.9667027;83.17179386;-3.375633836
199.4730031;57.44425846;40.66095782;-39.64887434
0;0;0;0
199.9361678;49.47570255;49.49545384;-9.409868969
184.1997828;0;-35.07755261;0
0;0;-2.420145484;149.4213412
0;0;0;0
-50;197.3009138;0;49.09138879
0;0;-18.75253039;163.6851265
-28.34110313;50;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
-21.30459428;47.84474804;86.40133783;199.9645579
189.4369178;0;-0.836433056;0
34.85112566;0;187.896173;-50
0;0;0;0
48.47099743;49.48993447;124.4840945;-50
0;-13.70785245;0;163.654073
0;68.74800138;0;-32.8125
0;0;0;0
0;0;159.9603951;-56.25586639
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;49.47143269;-50;198.0187516
49.47143269;165.0564469;-37.71273381;0
19.81158865;-50.00258812;0;106.249263
0;0;0;0
0;0;170.2159469;-56.25729077
0;0;-27.93028029;0
-29.68841135;0;0;0
0;0;0;0
-37.5;0;133.6736425;0
-50;0;50;0
0;0;-50;50
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
